token # (B),parameter # (B),hardware efficiency,pred_CO2eq_t,train_delta,error_% 
0.02689685,0.067436544,0.25,1.2876937815434876e-05,-0.9740017407320112,-97.40017407320111
0.030739257142857142,0.067436544,0.25,1.4716500360497004e-05,-0.970287703693727,-97.0287703693727
0.034581664285714284,0.067436544,0.25,1.6556062905559127e-05,-0.9665736666554429,-96.65736666554429
0.03842407142857143,0.067436544,0.25,1.8395625450621252e-05,-0.9628596296171588,-96.28596296171588
0.04226647857142857,0.067436544,0.25,2.023518799568337e-05,-0.9591455925788747,-95.91455925788746
0.046108885714285716,0.067436544,0.25,2.20747505407455e-05,-0.9554315555405906,-95.54315555405906
0.04995129285714286,0.067436544,0.25,2.3914313085807624e-05,-0.9517175185023065,-95.17175185023065
0.0537937,0.067436544,0.25,2.5753875630869752e-05,-0.9480034814640224,-94.80034814640223
0.05763610714285714,0.067436544,0.25,2.7593438175931877e-05,-0.9442894444257381,-94.42894444257381
0.061478514285714284,0.067436544,0.25,2.943300072099401e-05,-0.940575407387454,-94.0575407387454
0.06532092142857143,0.067436544,0.25,3.1272563266056133e-05,-0.9368613703491699,-93.686137034917
0.06916332857142857,0.067436544,0.25,3.3112125811118255e-05,-0.9331473333108858,-93.31473333108859
0.07300573571428572,0.067436544,0.25,3.4951688356180376e-05,-0.9294332962726017,-92.94332962726017
0.07684814285714286,0.067436544,0.25,3.6791250901242505e-05,-0.9257192592343175,-92.57192592343175
0.08069055,0.067436544,0.25,3.863081344630463e-05,-0.9220052221960334,-92.20052221960334
0.0537937,0.033718272,0.25,1.2876937815434876e-05,-0.9740017407320112,-97.40017407320111
0.0537937,0.038535168,0.25,1.4716500360497004e-05,-0.970287703693727,-97.0287703693727
0.0537937,0.043352064,0.25,1.6556062905559127e-05,-0.9665736666554429,-96.65736666554429
0.0537937,0.048168960000000004,0.25,1.8395625450621252e-05,-0.9628596296171588,-96.28596296171588
0.0537937,0.052985856000000005,0.25,2.023518799568337e-05,-0.9591455925788747,-95.91455925788746
0.0537937,0.057802752000000006,0.25,2.207475054074551e-05,-0.9554315555405906,-95.54315555405906
0.0537937,0.062619648,0.25,2.391431308580763e-05,-0.9517175185023065,-95.17175185023065
0.0537937,0.06743654400000001,0.25,2.575387563086976e-05,-0.9480034814640222,-94.80034814640223
0.0537937,0.07225344,0.25,2.7593438175931877e-05,-0.9442894444257381,-94.42894444257381
0.0537937,0.07707033600000002,0.25,2.943300072099401e-05,-0.940575407387454,-94.0575407387454
0.0537937,0.081887232,0.25,3.1272563266056133e-05,-0.9368613703491699,-93.686137034917
0.0537937,0.08670412800000002,0.25,3.3112125811118255e-05,-0.9331473333108858,-93.31473333108859
0.0537937,0.091521024,0.25,3.495168835618038e-05,-0.9294332962726017,-92.94332962726017
0.0537937,0.09633792000000002,0.25,3.6791250901242505e-05,-0.9257192592343175,-92.57192592343175
0.0537937,0.10115481600000001,0.25,3.863081344630465e-05,-0.9220052221960334,-92.20052221960334
0.0537937,0.067436544,0.125,5.1507751261739504e-05,-0.8960069629280446,-89.60069629280446
0.0537937,0.067436544,0.14285714285714285,4.506928235402206e-05,-0.909006092562039,-90.90060925620391
0.0537937,0.067436544,0.1607142857142857,4.0061584314686285e-05,-0.9191165267218124,-91.91165267218125
0.0537937,0.067436544,0.17857142857142858,3.605542588321764e-05,-0.9272048740496313,-92.72048740496312
0.0537937,0.067436544,0.19642857142857142,3.277765989383423e-05,-0.933822612772392,-93.3822612772392
0.0537937,0.067436544,0.21428571428571427,3.0046188236014713e-05,-0.9393373950413594,-93.93373950413594
0.0537937,0.067436544,0.23214285714285715,2.7734942987090512e-05,-0.944003749268947,-94.4003749268947
0.0537937,0.067436544,0.25,2.5753875630869752e-05,-0.9480034814640224,-94.80034814640223
0.0537937,0.067436544,0.26785714285714285,2.4036950588811772e-05,-0.9514699160330875,-95.14699160330875
0.0537937,0.067436544,0.2857142857142857,2.253464117701103e-05,-0.9545030462810196,-95.45030462810196
0.0537937,0.067436544,0.30357142857142855,2.1209074048951568e-05,-0.9571793376762536,-95.71793376762537
0.0537937,0.067436544,0.3214285714285714,2.0030792157343142e-05,-0.9595582633609062,-95.95582633609062
0.0537937,0.067436544,0.3392857142857143,1.897653993853561e-05,-0.9616867758155954,-96.16867758155954
0.0537937,0.067436544,0.3571428571428571,1.8027712941608834e-05,-0.9636024370248156,-96.36024370248157
0.0537937,0.067436544,0.375,1.7169250420579836e-05,-0.9653356543093482,-96.53356543093481
